time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
4.48,a,0.969012,0.06383242,0.9779011,0.12714167,0.9786984,0.009751214,0.016010806,0.025836904,0.9927323,0.019404136,0.050999302,0.016343003,0.013048045,0.52543753,0.008884488,0.9393893,0.005591489,0.004667969,0.03696026,0.03525713,7.68933e-05
4.49,a,0.9698859,0.056578465,0.98494834,0.04324894,0.98292035,0.0043974775,0.022468697,0.024227645,0.9955533,0.00897958,0.06233353,0.0170888,0.013574095,0.5006825,0.013686515,0.95342666,0.004669128,0.005962968,0.038448982,0.02656853,0.0001273125
4.5,a,0.97091234,0.05298103,0.98752445,0.02235718,0.98350126,0.002207411,0.026488403,0.02633493,0.9959898,0.006007797,0.07963043,0.022326188,0.011980467,0.4634546,0.020969065,0.96251786,0.0050050523,0.007901114,0.04383923,0.023103207,0.00016931984
4.51,a,0.9744179,0.04835065,0.98771125,0.013514114,0.9846743,0.0016129109,0.035837024,0.031202089,0.99536467,0.0064985068,0.10489466,0.030948082,0.011052098,0.41184118,0.026037795,0.97023803,0.007231398,0.013648809,0.055129275,0.021569116,0.00024233821
4.5200000000000005,a,0.981984,0.034896404,0.9901475,0.009454326,0.98922855,0.0013643441,0.03329992,0.028017689,0.9960449,0.0048566484,0.10313267,0.029060522,0.009074539,0.31605053,0.030324263,0.98250085,0.0074246405,0.015124647,0.053300936,0.0140985,0.00030757382
4.53,a,0.9868977,0.024321852,0.9929293,0.010868033,0.993147,0.0015797332,0.024152992,0.019752445,0.9969662,0.0032563875,0.07355329,0.017909516,0.007693935,0.25260025,0.02714268,0.98929155,0.0055336948,0.012931608,0.03894895,0.009800946,0.0002823157
4.54,a,0.98738426,0.020293083,0.9943146,0.012908509,0.99436164,0.0018578601,0.022616208,0.01349067,0.9969706,0.0021939424,0.04699234,0.011498194,0.008389254,0.23581064,0.026403982,0.99114877,0.00442632,0.011865865,0.022781553,0.006674402,0.00014738833
4.55,a,0.9816081,0.025577893,0.9923807,0.01985031,0.9919503,0.0030127675,0.03257773,0.01049419,0.9951803,0.0015907534,0.03153454,0.011304359,0.012076912,0.29098228,0.054765616,0.98601526,0.0042778496,0.017842818,0.011748243,0.004944064,3.619598e-05
4.5600000000000005,a,0.96075225,0.054284293,0.98059535,0.036663875,0.9767138,0.0055800653,0.107849315,0.0195327,0.98576385,0.004381196,0.040702246,0.022133663,0.027616499,0.3426324,0.10072582,0.96302897,0.014896377,0.06899983,0.008943008,0.007552368,5.114413e-05
4.57,a,0.9035957,0.13614106,0.9547015,0.050375514,0.9353255,0.010893061,0.16507983,0.099042684,0.95778835,0.116871126,0.08431411,0.07288032,0.05742107,0.4162284,0.106184684,0.90650195,0.09549467,0.34261993,0.02368023,0.0304297,0.0022575327
4.58,p,0.816746,0.27194124,0.885127,0.051781353,0.8631007,0.020460516,0.15866901,0.281131,0.9255724,0.39762953,0.14131536,0.27828178,0.11532251,0.5811787,0.16815312,0.78227866,0.28186506,0.682962,0.07208002,0.11152126,0.043798313
4.59,p,0.6489294,0.4337244,0.73983604,0.061610483,0.712774,0.025439788,0.0896051,0.3074822,0.8401082,0.45785362,0.097552195,0.56248707,0.14271437,0.68003345,0.30520123,0.46286863,0.56724805,0.83665884,0.08236051,0.14363497,0.16575238
4.6000000000000005,p,0.47676426,0.50336355,0.60919356,0.051566582,0.5603631,0.018401109,0.04117489,0.317009,0.72345,0.46883035,0.07003371,0.7127252,0.115722775,0.65905744,0.29080495,0.28469524,0.7558215,0.9043286,0.07387704,0.12154717,0.3104421
4.61,p,0.2711444,0.65829766,0.4047851,0.03700561,0.41185886,0.017500862,0.029662138,0.4892645,0.5791917,0.6590992,0.09517955,0.7855978,0.09279426,0.5656954,0.2252326,0.14697918,0.81911784,0.9522478,0.09449394,0.19303559,0.3724701
4.62,p,0.13107704,0.80110383,0.24164596,0.026830148,0.23219758,0.014023419,0.018785864,0.6644448,0.6340236,0.7991177,0.13641074,0.81700003,0.08047724,0.5477541,0.3043559,0.07698162,0.8709189,0.97175986,0.1434112,0.2616369,0.30755243
4.63,p,0.28010362,0.6869414,0.50340664,0.028775677,0.44253072,0.019116743,0.03695467,0.5805581,0.6888555,0.6912429,0.17559357,0.80001915,0.099580236,0.5298128,0.39180273,0.19125068,0.8471296,0.9517114,0.13980079,0.22531208,0.19694361
4.64,p,0.66548127,0.38031337,0.85705125,0.055184305,0.80836725,0.032221165,0.06593279,0.3366697,0.9241866,0.41957211,0.14480066,0.5620754,0.10726165,0.62932384,0.47924954,0.55167276,0.69822294,0.7708972,0.117165744,0.11504217,0.054700527
4.65,a,0.8730149,0.20129906,0.9345116,0.10890454,0.93037724,0.025875717,0.098219395,0.13109642,0.9724587,0.14455868,0.092947595,0.1997994,0.07406802,0.58270705,0.3702817,0.8424777,0.20190597,0.33015105,0.078731045,0.054378852,0.0051120697
4.66,a,0.939027,0.13580097,0.9654469,0.09039913,0.9600354,0.015684865,0.106545664,0.060349796,0.98752177,0.03578402,0.06785904,0.06112492,0.038051236,0.48801893,0.18442374,0.93226063,0.03369648,0.104665585,0.053542875,0.030963885,0.0009601375
4.67,a,0.967064,0.07421048,0.97859955,0.079058096,0.97898626,0.008075077,0.062868975,0.031792812,0.99359953,0.013315377,0.050666988,0.027397381,0.023952218,0.3516637,0.11001041,0.96582156,0.0088819945,0.03397429,0.032366086,0.022014195,0.00016930628
4.68,a,0.978904,0.043292925,0.9824879,0.064556055,0.98520786,0.0067157424,0.051190536,0.022513743,0.9955586,0.007560925,0.042127725,0.021972455,0.019771505,0.240388,0.05559371,0.9782216,0.006177807,0.014478016,0.02272709,0.01990003,4.7352536e-05
4.69,a,0.97127825,0.04770677,0.9789325,0.07032356,0.9827057,0.006596905,0.0798365,0.022875937,0.9938346,0.015520228,0.032940168,0.019048642,0.025555333,0.2364336,0.028731046,0.97683954,0.007816806,0.009741177,0.019939383,0.035123732,2.5619573e-05
4.7,a,0.9045178,0.1439454,0.95616114,0.09852253,0.9476182,0.008583311,0.2536191,0.08229603,0.97789586,0.16302735,0.025768697,0.03132246,0.067876615,0.32678393,0.009947209,0.9452276,0.03222529,0.019659,0.04818917,0.16600658,0.00013332871
4.71,k,0.744317,0.4134307,0.8952257,0.05794083,0.82997704,0.012916363,0.34994155,0.5919884,0.92422074,0.7534135,0.025443994,0.066961646,0.10875549,0.4445067,0.004166303,0.7364396,0.09877796,0.037026778,0.4263579,0.7532931,0.005639159
4.72,k,0.47310615,0.7536539,0.6639618,0.0448342,0.6086052,0.016154326,0.21578676,0.8969397,0.7690507,0.921948,0.029888054,0.090638384,0.11319821,0.49401772,0.003737428,0.2739534,0.12588213,0.07156437,0.725658,0.93483543,0.026489012
